# adapted from https://github.com/sandavid/paris-metro-map/blob/master/Connexions_IDF.csv

A3;Cergy le Haut;Cergy St Christophe
A3;Cergy St Christophe;Cergy le Haut
A3;Cergy St Christophe;Cergy Prefecture
A3;Cergy Prefecture;Cergy St Christophe
A3;Cergy Prefecture;Neuville Universite
A3;Neuville Universite;Cergy Prefecture
A3;Neuville Universite;Conflans Fin d'Oise
A3;Conflans Fin d'Oise;Neuville Universite
A3;Conflans Fin d'Oise;Acheres Ville
A3;Acheres Ville;Conflans Fin d'Oise
A3;Acheres Ville;Maisons Laffitte
A3;Maisons Laffitte;Acheres Ville

A5;Poissy;Acheres Grand Cormier
A5;Acheres Grand Cormier;Poissy
A5;Acheres Grand Cormier;Maisons Laffitte
A5;Maisons Laffitte;Acheres Grand Cormier

A35;Maisons Laffitte;Sartrouville
A35;Sartrouville;Maisons Laffitte
A35;Sartrouville;Houilles Carrieres sur Seine
A35;Houilles Carrieres sur Seine;Sartrouville
A35;Houilles Carrieres sur Seine;Nanterre Prefecture
A35;Nanterre Prefecture;Houilles Carrieres sur Seine

A1;St Germain en Laye;Le Vesinet Le Pecq
A1;Le Vesinet Le Pecq;St Germain en Laye
A1;Le Vesinet Le Pecq;Le Vesinet Centre
A1;Le Vesinet Centre;Le Vesinet Le Pecq
A1;Le Vesinet Centre;Chatou Croissy
A1;Chatou Croissy;Le Vesinet Centre
A1;Chatou Croissy;Rueil Malmaison
A1;Rueil Malmaison;Chatou Croissy
A1;Rueil Malmaison;Nanterre Ville
A1;Nanterre Ville;Rueil Malmaison
A1;Nanterre Ville;Nanterre Univerisite
A1;Nanterre Univerisite;Nanterre Ville
A1;Nanterre Univerisite;Nanterre Prefecture
A1;Nanterre Prefecture;Nanterre Univerisite

A;Nanterre Prefecture;La Defense
A;La Defense;Nanterre Prefecture
A;La Defense;Etoile Charles de Gaulle
A;Etoile Charles de Gaulle;La Defense
A;Etoile Charles de Gaulle;Auber
A;Auber;Etoile Charles de Gaulle
A;Auber;Chatelet Les Halles
A;Chatelet Les Halles;Auber
A;Chatelet Les Halles;Gare de Lyon
A;Gare de Lyon;Chatelet Les Halles
A;Gare de Lyon;Nation
A;Nation;Gare de Lyon
A;Nation;Vincennes
A;Vincennes;Nation

W;Haussmann St Lazare;Auber
W;Auber;Haussmann St Lazare
W;Havre Caumartin;Auber
W;Auber;Havre Caumartin
W;Opera;Auber
W;Auber;Opera
W;Saint Lazare;Auber
W;Auber;Saint Lazare

W;Chatelet;Chatelet Les Halles
W;Chatelet Les Halles;Chatelet
W;Les Halles;Chatelet Les Halles
W;Chatelet Les Halles;Les Halles

A2;Boissy St Leger;Sucy Bonneuil
A2;Sucy Bonneuil;Boissy St Leger
A2;Sucy Bonneuil;La Varenne Chevrieres
A2;La Varenne Chevrieres;Sucy Bonneuil
A2;La Varenne Chevrieres;Champigny
A2;Champigny;La Varenne Chevrieres
A2;Champigny;Le Parc de St Maur
A2;Le Parc de St Maur;Champigny
A2;Le Parc de St Maur;St Maur Creteil
A2;St Maur Creteil;Le Parc de St Maur
A2;St Maur Creteil;Joinville le Pont
A2;Joinville le Pont;St Maur Creteil
A2;Joinville le Pont;Nogent sur Marne
A2;Nogent sur Marne;Joinville le Pont
A2;Nogent sur Marne;Fontenay sous Bois
A2;Fontenay sous Bois;Nogent sur Marne
A2;Fontenay sous Bois;Vincennes
A2;Vincennes;Fontenay sous Bois

A4;Marne la Vallee Chessy;Val d'Europe
A4;Val d'Europe;Marne la Vallee Chessy
A4;Val d'Europe;Bussy St Georges
A4;Bussy St Georges;Val d'Europe
A4;Bussy St Georges;Torcy
A4;Torcy;Bussy St Georges
A4;Torcy;Lognes
A4;Lognes;Torcy
A4;Lognes;Noisiel
A4;Noisiel;Lognes
A4;Noisiel;Noisy Champs
A4;Noisy Champs;Noisiel
A4;Noisy Champs;Noisy le Grand Mont d'Est
A4;Noisy le Grand Mont d'Est;Noisy Champs
A4;Noisy le Grand Mont d'Est;Brie sur Marne
A4;Brie sur Marne;Noisy le Grand Mont d'Est
A4;Brie sur Marne;Neuilly Plaisance
A4;Neuilly Plaisance;Brie sur Marne
A4;Neuilly Plaisance;Val de Fontenay
A4;Val de Fontenay;Neuilly Plaisance
A4;Val de Fontenay;Vincennes
A4;Vincennes;Val de Fontenay

B4;St Remy les chevreuse;Courcelle sur Yvette
B4;Courcelle sur Yvette;St Remy les chevreuse
B4;Courcelle sur Yvette;Gif sur Yvette
B4;Gif sur Yvette;Courcelle sur Yvette
B4;Gif sur Yvette;La Hacquiniere
B4;La Hacquiniere;Gif sur Yvette
B4;La Hacquiniere;Bures sur Yvette
B4;Bures sur Yvette;La Hacquiniere
B4;Bures sur Yvette;Orsay la Ville
B4;Orsay la Ville;Bures sur Yvette
